L1,L2,L3,L4,SUTO2,SUTO1,out0,out1,out2,out3,out4,out5
0.0,0.0,0,0,0,0.0,0,0,0,0,0,4202416
0.0,0.0,0,0,0,0.0,0,0,0,0,0,4202416
1.1,2.2,0,1,1,3.2,0,0,0,0,0,4202416
1.1,2.2,0,1,1,3.2,0,0,0,0,0,4202416
0.0,0.0,0,0,0,0.0,0,0,0,0,0,4202416
0.0,0.0,0,0,0,0.0,2,1,0,1,0,4202416
5.0,10.0,0,5,5,15.0,2,1,0,1,0,4202416
5.0,10.0,0,5,5,15.0,12,6,0,6,0,4202416
5.0,10.0,2,3,3,13.0,12,6,0,6,0,4202416
5.0,10.0,2,3,3,13.0,12,6,0,6,0,4202416
5.0,10.0,4,1,1,11.0,12,6,0,6,0,4202416
5.0,10.0,4,1,1,11.0,16,8,2,8,0,4202416
5.0,10.0,6,-1,-1,9.0,16,8,2,8,0,4202416
5.0,10.0,6,-1,-1,9.0,20,10,4,10,0,4202416
5.0,10.0,8,-3,-3,7.0,20,10,4,10,0,4202416
